sample_name,biosample,data_type,env_broad_scale,env_medium,collection_date,metamorphosis_date,basidiobolus_feeding_date,collection_event,treatment,egg_mass,tank,animal_type,host_genus,host_species,host_length,mass_g,host_sex,geo_loc_name,gps_n,gps_w,state,clinical_signs,lesion_type,lesion_location,lesion_number,lesion_coverage,collector,temp id,notes_lab
UHM100,1870,vivarium,timeseries,fecal,4/1/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,278,Preconditioned on FFs - Do not expect Basidiobolus
UHM100,1871,vivarium,timeseries,fecal,4/1/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,542,Preconditioned on FFs - Do not expect Basidiobolus
UHM100,1872,vivarium,timeseries,fecal,4/4/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,610,
UHM100,1873,vivarium,timeseries,fecal,4/5/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,636,
UHM100,1874,vivarium,timeseries,fecal,4/6/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,678,
UHM100,1875,vivarium,timeseries,fecal,4/7/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,766,
UHM100,1876,vivarium,timeseries,fecal,4/8/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,813,
UHM100,1877,vivarium,timeseries,fecal,4/11/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,874,
UHM100,1878,vivarium,timeseries,fecal,4/12/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,942,
UHM100,1879,vivarium,timeseries,fecal,4/13/2022,3/31/2022,4/1/2022,Walker,STP1717.1 pilot,1,4,frog,Lithobates,sylvaticus,NA,NA,NA,Bridgestone Firestone WMA,,,TN,NA,NA,NA,NA,NA,Romer,983,
