"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UHM102.10840__k141_67670_11",2249.19399663859,-2.02123451853533,1.48706593111734,-1.35920975408039,0.174080131287247,0.807569679332565
"UHM102.10840__k141_104913_6",1209.24865309463,-2.02327967833153,1.54389136454818,-1.31050650634583,0.190024544616318,0.807569679332565
"UHM102.10840__k141_104913_38",2170.87118086157,-2.03608239292202,1.31627450687716,-1.54685240980059,0.121898838962133,0.807569679332565
"UHM102.10840__k141_91236_98",1334.26633478396,-2.00437121731737,1.30637394482444,-1.53430128123593,0.124955550692729,0.807569679332565
"UHM102.10840__k141_746_21",1767.22048772191,-2.02648710277375,1.52437778866359,-1.32938640135288,0.183720521936584,0.807569679332565
"UHM102.10840__k141_746_53",2821.99410596427,-2.35370267688256,1.37072055647897,-1.71712802128584,0.0859557833408563,0.807569679332565
"UHM102.10840__k141_746_85",1792.81731802326,-2.40541424266564,1.42262518374013,-1.69082782320901,0.0908696915617734,0.807569679332565
"UHM102.10840__k141_44090_14",1140.4931452392,-2.02111618770966,1.41194801478457,-1.43143810292338,0.152304694703581,0.807569679332565
"UHM102.10840__k141_101860_22",3529.64397696753,-2.01914341493945,1.30698726644841,-1.544883769546,0.122374379986127,0.807569679332565
"UHM102.10840__k141_94921_21",500.854710445798,-2.0153844652078,1.69843401599632,-1.18661334277714,0.235380170472689,0.807569679332565
"UHM102.10840__k141_4261_16",1792.9670804948,-2.01980816330066,1.32437585945818,-1.52510191791551,0.127233678931377,0.807569679332565
"UHM102.10840__k141_34430_7",1345.25237873971,-2.02392467314422,1.48702158523812,-1.36105937750737,0.173494925771591,0.807569679332565
"UHM102.10840__k141_34430_39",602.078233524184,-2.102390890018,1.57444733561627,-1.33531991985942,0.181771661735735,0.807569679332565
"UHM102.10840__k141_99501_7",1319.73240361149,-2.37435322046921,1.43717772730029,-1.65209436200308,0.0985153161237638,0.807569679332565
"UHM102.10840__k141_34471_25",1336.47462258033,-2.03742332591723,1.45761178269401,-1.39778187176259,0.16217857977113,0.807569679332565
"UHM102.10840__k141_34471_57",3502.52231093031,-2.05081218026202,1.31211298130821,-1.56298444530082,0.118056253490244,0.807569679332565
"UHM102.10840__k141_34471_121",1573.28846935,-2.01035564860184,1.59687371467425,-1.25893214355522,0.208054842461066,0.807569679332565
"UHM102.10840__k141_34471_153",2205.1981642512,-2.0140260487669,1.37032699956137,-1.46974120002858,0.14163185969804,0.807569679332565
"UHM102.10840__k141_34471_217",1257.6497306777,-2.05407363566692,1.50478686648221,-1.36502629137693,0.172244786759056,0.807569679332565
"UHM102.10840__k141_34471_281",967.865438715056,-2.06711803882028,1.45621213463893,-1.41951710856525,0.155748312601258,0.807569679332565
"UHM102.10840__k141_55252_21",1561.51196355437,-2.38402737323981,1.51979122429252,-1.56865451986644,0.116728461327743,0.807569679332565
"UHM102.10840__k141_55252_53",998.494183437514,-2.31019171481077,1.26177727521158,-1.83090293366029,0.0671150323959283,0.807569679332565
"UHM102.10840__k141_99745_15",2142.74486316549,-2.01402195531511,1.4385748367159,-1.40001194509483,0.161509741479901,0.807569679332565
"UHM102.10840__k141_91935_24",1117.46104468312,-2.09150478017839,1.59080684754448,-1.31474464257352,0.1885957375986,0.807569679332565
"UHM102.10840__k141_91935_56",1542.69479451461,-2.03289890288916,1.05199096070788,-1.93243001016019,0.0533064529483773,0.773052764992062
"UHM102.10840__k141_42619_10",1536.82073322713,-2.08942392487194,1.55591742706085,-1.34288869610445,0.179308017223335,0.807569679332565
"UHM102.10840__k141_42619_42",1750.77094499608,-2.0330443975589,1.36067907097844,-1.49413953732453,0.135139151882989,0.807569679332565
