"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UHM102.35765__k141_81631_362",701.746897874633,-3.70660860007317,0.595373360578378,-6.2256876869203,4.79448303246008e-10,7.8193125929799e-07
"UHM102.35765__k141_129721_49",157.860531504406,-2.5278779771304,0.711805729070935,-3.55135941435853,0.000383246673847501,0.05682147438562
"UHM102.35765__k141_13354_16",284.211908580567,-3.90946358481362,0.617034888010489,-6.33588742027041,2.35979053837534e-10,4.82973677495765e-07
"UHM102.35765__k141_66392_172",273.49275398367,-3.52402066042403,0.580825965620715,-6.06725743856509,1.30112909904605e-09,1.43504161215319e-06
"UHM102.35766__k141_43664_28",282.145375624709,-3.7168132142671,0.583839255261272,-6.36615846018061,1.93821195596713e-10,4.74249178329924e-07
"UHM102.35766__k141_153062_51",325.560159679315,-2.81562903065151,0.750747909709787,-3.75043206146246,0.000176530131096244,0.036864656296608
"UHM102.35766__k141_142425_26",177.449886882146,-2.03231428103687,0.550421739456847,-3.69228563363495,0.000222247651475607,0.0424263212406119
"UHM102.35767__k141_220592_37",797.120031389724,-3.31532122304466,1.1234106738144,-2.95112134887227,0.00316622496303027,0.096710147586138
"UHM102.35767__k141_130019_8",314.493826136504,-3.24169355648641,0.637633786583758,-5.08394257753245,3.69679743433707e-07,0.000223807477399706
"UHM125.35768__k141_31805_93",260.870120762237,-2.21386822207577,0.909736175638658,-2.43352774283333,0.0149524895243024,0.167707122504576
"UHM125.35768__k141_154779_57",506.191070249566,-2.88658095036937,1.2511354271492,-2.30716906238251,0.0210453970758103,0.216283675657961
"UHM125.35768__k141_158109_184",678.726139377751,-2.83135795726513,1.34395159640885,-2.10674102016081,0.0351400344347756,0.327141275841177
"UHM125.35769__k141_38392_19",543.954091989182,-2.83108987810881,1.2425965696193,-2.27836608222425,0.022704775468959,0.229641118416515
"UHM125.35770__k141_81730_133",569.091619890525,-2.71156561217443,1.21820752973109,-2.22586508948355,0.0260232193691368,0.256047716407929
"UHM125.35770__k141_116528_24",285.356953869077,-2.59552047170274,1.06216315000505,-2.44361750988103,0.0145408333681468,0.164299416260889
"UHM125.35770__k141_302838_220",237.509352134449,-2.54108032819863,0.985049542102473,-2.57964723558471,0.00989012877637595,0.128870006690903
"UHM145.35771__k141_80636_3",306.815286179619,-3.71317578731308,0.605059018452044,-6.13688198022848,8.41568580250635e-10,1.04452404083803e-06
"UHM145.35773__k141_98699_123",192.147613269067,-2.57355555664149,0.718892480014605,-3.57988938288687,0.000343739687218712,0.0531736595996104
"UHM145.35773__k141_76505_134",479.153089785426,-2.00358210469494,1.36080820578168,-1.4723471655905,0.140927152760117,0.607781359432014
"UHM17.10826__k141_265484_69",923.840090429294,-3.52370197361634,1.3760433321928,-2.56074928105724,0.0104446701891926,0.132656607358414
"UHM17.10826__k141_242830_26",203.641309419463,-2.10245010919446,1.20874957306183,-1.73935954646821,0.0819715392415292,0.595881514647466
"UHM17.35739__k141_25806_177",490.260245622298,-2.01696280170221,1.2949329767899,-1.55758084615483,0.119332642066437,0.602314438312231
"UHM17.35739__k141_9807_184",369.366244187472,-2.35506497698994,0.986165846090613,-2.3881023524856,0.0169356244807969,0.1831880745477
"UHM17.35739__k141_80560_8",457.750380842392,-2.46409959360325,1.09612831613708,-2.24800286364932,0.024576007316965,0.244792103792589
"UHM17.35739__k141_1130_13",518.480132652363,-3.50445737995163,0.582871607345125,-6.01240021951628,1.82796347257807e-09,1.80345522157535e-06
"UHM17.35740__k141_54758_63",275.370086358063,-2.52160793184515,0.940990153572023,-2.679738913604,0.00736796032883382,0.111304870184461
"UHM17.35740__k141_60786_18",197.875104038066,-2.09828908006218,0.56715144241188,-3.69969804033109,0.000215856143329829,0.0421522459510618
"UHM17.35740__k141_97266_1",367.116371254579,-2.01769450097721,0.876494429166351,-2.30200493447091,0.0213348939045326,0.218500155259108
"UHM17.35740__k141_92493_132",284.486549937984,-3.71978530450751,0.600356052315544,-6.19596536115606,5.79288665477036e-10,8.73458007791167e-07
"UHM17.35740__k141_74932_1",339.929253744231,-2.17500186300692,1.04759981612419,-2.07617625502626,0.0378776525496284,0.347606192679261
"UHM18.10827__k141_17964_156",442.292896596709,-3.63057388994763,0.595675012325285,-6.09489035938451,1.09512483767037e-09,1.25022580396557e-06
"UHM18.10827__k141_17964_188",329.03093208965,-3.7401462534226,0.594160180478514,-6.29484502042938,3.07707134759472e-10,5.79909168223942e-07
"UHM18.10827__k141_10522_52",677.872734343898,-2.01313202592254,1.27626755394276,-1.57735893206984,0.114712959382481,0.602314438312231
"UHM18.10827__k141_139863_119",245.812580216991,-3.76983532510992,0.599422802255305,-6.28910897437679,3.19293282802181e-10,5.79909168223942e-07
"UHM18.10827__k141_69698_34",593.382900411471,-2.78041994648453,1.3784105553938,-2.01712032427827,0.04368295813523,0.388609586598995
"UHM18.35741__k141_42962_882",529.390568888335,-2.17580308986856,1.26832287713885,-1.71549621085196,0.0862542895090004,0.602314438312231
"UHM18.35741__k141_44881_3",271.290885297779,-2.35708248755121,1.24273790646935,-1.89668511379664,0.0578695095635338,0.479214739044917
"UHM18.35741__k141_54151_242",545.614138669762,-3.62278039722656,0.585974736193738,-6.18248564905498,6.31000490669238e-10,9.02556180837446e-07
"UHM18.35742__k141_2182_470",357.408743803627,-2.14904745400997,1.3440344533808,-1.59895265229565,0.109831123505611,0.602314438312231
"UHM18.35742__k141_190564_13",362.105233037961,-2.17734360954309,0.807611823814877,-2.69602740492093,0.0070171893240021,0.109312215913899
"UHM18.35742__k141_101568_262",327.297746305801,-2.62896176030161,1.21805507919663,-2.15832748879922,0.0309023789629193,0.29483510993119
"UHM20.10828__k141_105106_79",777.757237260542,-3.06086977575668,1.28315885332727,-2.3854176494358,0.0170597413743619,0.184256274116874
"UHM20.35743__k141_87951_35",248.3921948192,-3.0540516167784,0.554236323248662,-5.51037795371664,3.58064010947708e-08,2.7780900360073e-05
"UHM20.35743__k141_21732_31",513.81177005965,-3.95159299574405,0.608133440053877,-6.49790446549685,8.14464949377656e-11,2.60348607858264e-07
"UHM20.35744__k141_65653_19",211.590830505669,-2.17881257857811,1.30481681493272,-1.66982257865098,0.0949544717875594,0.602314438312231
"UHM20.35744__k141_164573_5",796.943977571976,-2.25706049168375,1.24312424509473,-1.81563548502085,0.0694263065134752,0.542604778358715
"UHM20.35744__k141_67634_3",454.109786587299,-2.0293541303532,1.03672963605746,-1.95745743130345,0.0502937119270897,0.432727357336503
"UHM20.35744__k141_136046_60",294.927275952293,-3.79588797266225,0.603558628693473,-6.28917853577743,3.19150257760592e-10,5.79909168223942e-07
"UHM22.35747__k141_45082_5",339.250328346741,-3.8161632187135,0.602663381669492,-6.33216374975696,2.41746716468086e-10,4.82973677495765e-07
"UHM22.35747__k141_54051_2",278.06867200365,-3.61769497811268,0.596383262473914,-6.06605719131984,1.31088467211231e-09,1.43504161215319e-06
"UHM22.35747__k141_35702_49",301.99571995007,-3.98367366525134,0.635161528037549,-6.27190641970972,3.56653928735011e-10,6.19600914368037e-07
"UHM22.35747__k141_31716_3",451.468726327463,-3.86446915373098,0.60745980364007,-6.3616870294528,1.99549728554767e-10,4.74249178329924e-07
"UHM27.10829__k141_182286_190",458.873126199757,-2.19311403993951,1.35738036407347,-1.61569601121827,0.106160053819729,0.602314438312231
"UHM27.10829__k141_178366_203",745.689404051715,-2.01055457029531,1.27094075105306,-1.5819420131343,0.113662808720288,0.602314438312231
"UHM31.10830__k141_6543_8",532.593422182714,-2.78048356067654,1.27030994746234,-2.18882294532215,0.0286097113250678,0.276392223262992
"UHM31.10830__k141_47165_139",350.086525259675,-2.76921580612938,1.12307111264857,-2.4657528583374,0.0136725634331524,0.157348680039882
"UHM31.10830__k141_31406_7",1227.57029709653,-2.81952128199749,1.18847982177507,-2.3723762325105,0.0176740834048731,0.189205589284509
"UHM31.35749__k141_57495_97",167.483891402103,-2.8098448484171,0.681082427190369,-4.12555769498913,3.69837449398988e-05,0.0115660129009681
"UHM31.35749__k141_180910_280",521.999290975519,-2.59377233680951,1.11761230466722,-2.3208158374579,0.0202967853773178,0.210048861259127
"UHM33.10831__k141_113183_17",1168.87045511258,-2.7432503612013,1.11318907669426,-2.46431663644031,0.0137274781946901,0.157844272295031
"UHM33.10831__k141_105609_81",579.41915202587,-2.79789237065911,1.24646229404671,-2.2446666730492,0.0247895390542802,0.246550245673149
"UHM36.10832__k141_41565_2",1394.05188225909,-2.75852804373842,1.18332096937566,-2.33117481657903,0.0197441434921841,0.205580909841616
"UHM36.10832__k141_11473_59",226.48607136133,-2.04116752868517,1.28587613145627,-1.58737492574306,0.112427754767453,0.602314438312231
"UHM36.35750__k141_53569_29",850.556164712591,-2.8398661219072,1.27357549781371,-2.22983727841991,0.0257582475718134,0.253972189568648
"UHM38.35752__k141_165673_165",399.348718315628,-3.60915919660474,0.599472769791427,-6.02055569239695,1.73819285252946e-09,1.73632429521299e-06
"UHM38.35752__k141_145035_76",310.624132579848,-3.828002662159,0.592716397023205,-6.45840520252915,1.05812111774328e-10,3.13180337049394e-07
"UHM38.35752__k141_102375_33",333.812809914641,-3.61440960267967,0.602354791952663,-6.0004662550501,1.96751738592463e-09,1.87181171879501e-06
"UHM38.35752__k141_175873_66",249.106292101244,-2.31169634741941,0.657332520094439,-3.51678378408434,0.000436809442603672,0.0600341079452811
"UHM38.35752__k141_161541_38",296.730468874289,-3.64698083098919,0.590326719726779,-6.17790235325469,6.49588680805683e-10,9.10723330489568e-07
"UHM38.35753__k141_269833_36",525.974798872095,-2.83714689256408,0.714462701940865,-3.97102169904302,7.15650599877243e-05,0.01906350067953
"UHM40.10834__k141_85311_3",932.79581669991,-2.75129141298831,1.22671676293156,-2.24280901356022,0.0249091329866797,0.247493280305548
"UHM40.10834__k141_112137_168",271.084914554837,-2.05614430227681,1.22854849923866,-1.67363706320997,0.094201949763649,0.602314438312231
"UHM40.35754__k141_17467_37",306.972876671544,-2.05050542840609,1.31833916600982,-1.55537018187231,0.119857931416553,0.602314438312231
"UHM40.35754__k141_28515_101",502.638466620057,-2.80447288460983,1.23132373131008,-2.27760808412746,0.0227499384183472,0.230015002373962
"UHM40.35754__k141_132976_673",346.778204431471,-2.7095682125611,1.14542582150204,-2.36555537835522,0.0180030506147385,0.191877272182743
"UHM40.35755__k141_103700_234",298.445592084136,-3.83764630351665,0.618388020325752,-6.20588720573059,5.43891789759192e-10,8.52246440917963e-07
"UHM40.35755__k141_9065_108",677.789446523271,-2.85814933645255,1.27977323293557,-2.23332482888118,0.0255275313311426,0.252476131039224
"UHM41.10835__k141_53780_25",689.179970178993,-2.81271002643541,1.04297150443641,-2.69682346494722,0.0070004371449451,0.109115064170303
"UHM41.10835__k141_54423_452",577.484948543307,-2.81041484325162,1.27354857717732,-2.20675904603545,0.027330897640321,0.266258850911693
"UHM41.35756__k141_124862_82",358.088266399357,-3.61896683005947,0.599786720811662,-6.03375617446499,1.60191715996092e-09,1.68441589369891e-06
"UHM41.35756__k141_124862_274",260.411116727143,-3.70058067079167,0.596050053459277,-6.20850656637765,5.34904881485466e-10,8.52246440917963e-07
"UHM41.35757__k141_45979_118",216.089817075113,-2.11213772092283,0.645742488658846,-3.27086688272529,0.0010721836668079,0.0872530402742227
"UHM41.35757__k141_53497_41",659.435571503282,-3.85432949918756,0.602921560748115,-6.39275446445313,1.62923772777927e-10,4.32171847941955e-07
"UHM41.35757__k141_114702_16",187.038516813019,-2.40023128872842,0.796838990106124,-3.01219106812124,0.00259369287706071,0.096710147586138
"UHM43.10836__k141_128562_45",399.202257541866,-2.9688851399554,0.593622437207072,-5.00130209687436,5.69444015213544e-07,0.000325046778798394
"UHM45.10838__k141_37491_57",1031.28709874453,-2.07149469475417,1.28428580931803,-1.61295459291429,0.106754373141986,0.602314438312231
"UHM45.35758__k141_218342_113",333.978797330381,-4.1106017319156,0.61433783377043,-6.69110952631264,2.21484808390077e-11,1.10623356110529e-07
"UHM45.35759__k141_124332_10",278.903052335356,-3.78165740809733,0.630956366341423,-5.99353237376006,2.05331265486888e-09,1.91411730175931e-06
"UHM45.35759__k141_23548_76",295.054789735242,-3.33154230593662,0.57296116381294,-5.81460405407913,6.07775707111142e-09,5.16699870830636e-06
"UHM72.35762__k141_40216_14",259.122136992371,-2.47861435662538,0.662366317937425,-3.74205977795437,0.00018251808289473,0.0375921393722924
"UHM72.35764__k141_108498_2",286.162017963146,-3.92079459384195,0.618914686206891,-6.33495161969917,2.37415759524174e-10,4.82973677495765e-07
"UHM102.35765__k141_91390_156",294.494015316224,-3.74399710181581,0.607514309953766,-6.16281302427385,7.14638730581115e-10,9.67959991790834e-07
"UHM102.35765__k141_122146_151",368.949984872201,-3.74009093267092,0.604658366807304,-6.18546130837355,6.19211219846492e-10,9.02556180837446e-07
"UHM102.35765__k141_147061_16",160.866971556114,-2.01119846707951,0.607080656331336,-3.31290158252353,0.000923334648145406,0.0830004106545466
"UHM102.35766__k141_65053_4",180.731633532328,-2.12274403193527,0.769422587487758,-2.75887927707743,0.00579999569564143,0.102525353502138
"UHM102.35767__k141_130019_9",355.875547971137,-3.51097698821958,0.68844522196534,-5.0998639778436,3.3989765610833e-07,0.000207347948780466
"UHM102.35767__k141_199989_24",786.415439062685,-3.31005008249792,1.04837467670744,-3.15731594442322,0.00159228721265641,0.0949510518431773
"UHM125.35768__k141_154779_26",1698.47725926377,-2.81011979218737,1.09012038823616,-2.57780683905398,0.00994295613495472,0.129242257086658
"UHM125.35768__k141_154779_58",692.362345269737,-2.83118124899565,1.27710127039543,-2.21688077102846,0.0266312400980695,0.260905838077372
"UHM125.35769__k141_143000_65",402.741794982046,-3.66737563103362,0.586438568179464,-6.2536399036963,4.00995011967737e-10,6.81810965667866e-07
"UHM125.35770__k141_267826_559",488.416499935118,-2.77747863965989,1.21942328651443,-2.27769854026567,0.0227445447733071,0.229989567381255
"UHM125.35770__k141_250555_3",319.314209224255,-3.62855967167965,0.590591262953077,-6.1439440426804,8.0497210534967e-10,1.03755711011151e-06
"UHM125.35770__k141_139530_2",424.321789532295,-3.84763215513294,0.599024642747025,-6.42316172084066,1.33472558469534e-10,3.70701513265422e-07
"UHM17.10826__k141_104_37",467.492501248361,-2.63845922091687,1.26615525142486,-2.08383546800261,0.0371751359017122,0.342545787638714
