Biosample	treatment
UHM102.10840	STP1710.7 pilot
UHM102.35765	STP1710.7 pilot
UHM102.35766	STP1710.7 pilot
UHM102.35767	STP1710.7 pilot
UHM125.35768	STP1717.1 pilot
UHM125.35769	STP1717.1 pilot
UHM125.35770	STP1717.1 pilot
UHM145.35771	STP1717.1 pilot
UHM145.35772	STP1717.1 pilot
UHM145.35773	STP1717.1 pilot
UHM17.10826	STP1710.7 pilot
UHM17.35739	STP1710.7 pilot
UHM17.35740	STP1710.7 pilot
UHM18.10827	STP1717.1 pilot
UHM18.35741	STP1717.1 pilot
UHM18.35742	STP1717.1 pilot
UHM20.10828	STP1710.7 pilot
UHM20.35743	STP1710.7 pilot
UHM20.35744	STP1710.7 pilot
UHM22.35745	control
UHM22.35746	control
UHM22.35747	control
UHM27.10829	control
UHM31.10830	STP1717.1 pilot
UHM31.35748	STP1717.1 pilot
UHM31.35749	STP1717.1 pilot
UHM33.10831	STP1717.1 pilot
UHM36.10832	control
UHM36.35750	control
UHM36.35751	control
UHM38.10833	control
UHM38.35752	control
UHM38.35753	control
UHM40.10834	STP1717.1 pilot
UHM40.35754	STP1717.1 pilot
UHM40.35755	STP1717.1 pilot
UHM41.10835	STP1710.7 pilot
UHM41.35756	STP1710.7 pilot
UHM41.35757	STP1710.7 pilot
UHM43.10836	control
UHM44.10837	STP1717.1 pilot
UHM45.10838	control
UHM45.10838	STP1710.7 pilot
UHM45.35758	control
UHM45.35758	STP1710.7 pilot
UHM45.35759	control
UHM45.35759	STP1710.7 pilot
UHM56.10839	control
UHM56.35760	control
UHM56.35761	control
UHM72.35762	control
UHM72.35763	control
UHM72.35764	control
