Gene_ID,baseMean,log2FoldChange,padj,EC,cazyme_fam,sub_fam,diamond_fam,Substrate,#ofTools,DOMAIN,ACCESSION,EVALUE,QSTART,QEND,HMMSTART,HMMEND
UHM102.10840__k141_67670_11,2249.19399663859,-2.02123451853533,0.807569679332565,3.2.1.-:1+3.2.1.21:1+3.2.1.38:3+3.2.1.85:3+3.2.1.86:12,GH1(7-481),GH1_e115,-,beta-fucosides+beta-galactan+beta-glucan+polyphenol,2,Glyco_hydro_1,PF00232.23,2.0999999999999998e-162,7,481,3,452
UHM102.10840__k141_104913_6,1209.24865309463,-2.02327967833153,0.807569679332565,NA,NA,NA,NA,NA,NA,GPI,PF06560.16,1.7e-19,60,209,25,172
UHM102.10840__k141_104913_38,2170.87118086157,-2.03608239292202,0.807569679332565,NA,NA,NA,NA,NA,NA,tRNA-synt_1e,PF01406.24,4.0999999999999996e-117,14,313,2,300
UHM102.10840__k141_104913_38,2170.87118086157,-2.03608239292202,0.807569679332565,NA,NA,NA,NA,NA,NA,tRNA-synt_1g,PF09334.16,3.6e-14,33,144,12,124
UHM102.10840__k141_104913_38,2170.87118086157,-2.03608239292202,0.807569679332565,NA,NA,NA,NA,NA,NA,tRNA-synt_1,PF00133.27,3.1e-7,223,303,331,412
UHM102.10840__k141_104913_38,2170.87118086157,-2.03608239292202,0.807569679332565,NA,NA,NA,NA,NA,NA,DALR_2,PF09190.16,2.5e-6,350,406,4,58
UHM102.10840__k141_91236_98,1334.26633478396,-2.00437121731737,0.807569679332565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.10840__k141_746_21,1767.22048772191,-2.02648710277375,0.807569679332565,NA,NA,NA,NA,NA,NA,Aldo_ket_red,PF00248.26,8.5e-50,30,258,23,290
UHM102.10840__k141_746_53,2821.99410596427,-2.35370267688256,0.807569679332565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.10840__k141_746_85,1792.81731802326,-2.40541424266564,0.807569679332565,NA,NA,NA,NA,NA,NA,DDE_Tnp_ISL3,PF01610.22,6.9e-50,55,334,1,239
UHM102.10840__k141_44090_14,1140.4931452392,-2.02111618770966,0.807569679332565,NA,NA,NA,NA,NA,NA,HTH_6,PF01418.22,1.2e-16,1,70,1,70
UHM102.10840__k141_44090_14,1140.4931452392,-2.02111618770966,0.807569679332565,NA,NA,NA,NA,NA,NA,SIS,PF01380.27,6.9e-15,110,214,2,106
UHM102.10840__k141_101860_22,3529.64397696753,-2.01914341493945,0.807569679332565,NA,NA,NA,NA,NA,NA,EAL,PF00563.25,1.2e-62,490,724,2,236
UHM102.10840__k141_101860_22,3529.64397696753,-2.01914341493945,0.807569679332565,NA,NA,NA,NA,NA,NA,GGDEF,PF00990.26,7.1e-25,324,464,1,155
UHM102.10840__k141_94921_21,500.854710445798,-2.0153844652078,0.807569679332565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.10840__k141_4261_16,1792.9670804948,-2.01980816330066,0.807569679332565,NA,NA,NA,NA,NA,NA,Peripla_BP_3,PF13377.11,2.3e-29,189,348,2,167
UHM102.10840__k141_4261_16,1792.9670804948,-2.01980816330066,0.807569679332565,NA,NA,NA,NA,NA,NA,Peripla_BP_1,PF00532.26,1.7e-23,65,330,2,264
UHM102.10840__k141_4261_16,1792.9670804948,-2.01980816330066,0.807569679332565,NA,NA,NA,NA,NA,NA,LacI,PF00356.26,1.5e-17,8,53,1,46
UHM102.10840__k141_34430_7,1345.25237873971,-2.02392467314422,0.807569679332565,NA,NA,NA,NA,NA,NA,HSP33,PF01430.24,1.5e-95,3,278,1,273
UHM102.10840__k141_34430_39,602.078233524184,-2.102390890018,0.807569679332565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.10840__k141_99501_7,1319.73240361149,-2.37435322046921,0.807569679332565,NA,NA,NA,NA,NA,NA,Rnf-Nqr,PF02508.19,1.7e-64,4,195,2,173
UHM102.10840__k141_34471_25,1336.47462258033,-2.03742332591723,0.807569679332565,NA,NA,NA,NA,NA,NA,Germane,PF10646.14,1.3e-15,79,145,45,116
UHM102.10840__k141_34471_25,1336.47462258033,-2.03742332591723,0.807569679332565,NA,NA,NA,NA,NA,NA,Germane,PF10646.14,1.3e-15,189,278,16,115
UHM102.10840__k141_34471_57,3502.52231093031,-2.05081218026202,0.807569679332565,NA,NA,NA,NA,NA,NA,DNA_topoisoIV,PF00521.25,1.5999999999999996e-152,29,468,1,432
UHM102.10840__k141_34471_57,3502.52231093031,-2.05081218026202,0.807569679332565,NA,NA,NA,NA,NA,NA,DNA_gyraseA_C,PF03989.18,2.0000000000000002e-24,501,523,1,23
UHM102.10840__k141_34471_57,3502.52231093031,-2.05081218026202,0.807569679332565,NA,NA,NA,NA,NA,NA,DNA_gyraseA_C,PF03989.18,2.0000000000000002e-24,546,595,1,47
UHM102.10840__k141_34471_57,3502.52231093031,-2.05081218026202,0.807569679332565,NA,NA,NA,NA,NA,NA,DNA_gyraseA_C,PF03989.18,2.0000000000000002e-24,604,645,3,45
UHM102.10840__k141_34471_57,3502.52231093031,-2.05081218026202,0.807569679332565,NA,NA,NA,NA,NA,NA,DNA_gyraseA_C,PF03989.18,2.0000000000000002e-24,653,695,3,46
UHM102.10840__k141_34471_57,3502.52231093031,-2.05081218026202,0.807569679332565,NA,NA,NA,NA,NA,NA,DNA_gyraseA_C,PF03989.18,2.0000000000000002e-24,705,730,4,29
UHM102.10840__k141_34471_121,1573.28846935,-2.01035564860184,0.807569679332565,NA,NA,NA,NA,NA,NA,DXP_redisom_C,PF08436.17,1.5e-41,142,225,1,84
UHM102.10840__k141_34471_121,1573.28846935,-2.01035564860184,0.807569679332565,NA,NA,NA,NA,NA,NA,DXP_reductoisom,PF02670.21,8.8e-41,4,128,1,129
UHM102.10840__k141_34471_121,1573.28846935,-2.01035564860184,0.807569679332565,NA,NA,NA,NA,NA,NA,DXPR_C,PF13288.11,1.3e-40,257,375,1,115
UHM102.10840__k141_34471_153,2205.1981642512,-2.0140260487669,0.807569679332565,NA,NA,NA,NA,NA,NA,ABC_membrane,PF00664.28,1.3e-44,16,285,2,273
UHM102.10840__k141_34471_153,2205.1981642512,-2.0140260487669,0.807569679332565,NA,NA,NA,NA,NA,NA,ABC_tran,PF00005.32,4.4000000000000004e-30,353,500,2,136
UHM102.10840__k141_34471_217,1257.6497306777,-2.05407363566692,0.807569679332565,NA,NA,NA,NA,NA,NA,BPD_transp_2,PF02653.21,4.7999999999999994e-48,7,275,2,269
UHM102.10840__k141_34471_281,967.865438715056,-2.06711803882028,0.807569679332565,NA,NA,NA,NA,NA,NA,Pyridox_ox_2,PF12900.12,2.6e-12,79,204,7,140
UHM102.10840__k141_55252_21,1561.51196355437,-2.38402737323981,0.807569679332565,NA,NA,NA,NA,NA,NA,DUF4097,PF13349.11,1e-21,60,184,3,134
UHM102.10840__k141_55252_21,1561.51196355437,-2.38402737323981,0.807569679332565,NA,NA,NA,NA,NA,NA,DUF4097,PF13349.11,1e-21,125,256,113,246
UHM102.10840__k141_55252_53,998.494183437514,-2.31019171481077,0.807569679332565,NA,NA,NA,NA,NA,NA,Nitroreductase,PF00881.29,2.7999999999999997e-29,16,157,2,167
UHM102.10840__k141_55252_53,998.494183437514,-2.31019171481077,0.807569679332565,NA,NA,NA,NA,NA,NA,TM1586_NiRdase,PF14512.11,3.3e-18,80,177,56,151
UHM102.10840__k141_99745_15,2142.74486316549,-2.01402195531511,0.807569679332565,NA,NA,NA,NA,NA,NA,Fe_hyd_lg_C,PF02906.19,2.1000000000000003e-92,91,385,1,245
UHM102.10840__k141_99745_15,2142.74486316549,-2.01402195531511,0.807569679332565,NA,NA,NA,NA,NA,NA,Fe_hyd_SSU,PF02256.22,1.8e-21,398,451,3,56
UHM102.10840__k141_91935_24,1117.46104468312,-2.09150478017839,0.807569679332565,NA,NA,NA,NA,NA,NA,Peptidase_M24,PF00557.29,1.5e-57,11,238,1,207
UHM102.10840__k141_91935_56,1542.69479451461,-2.03289890288916,0.773052764992062,NA,NA,NA,NA,NA,NA,EamA,PF00892.25,6.6e-36,6,138,2,133
UHM102.10840__k141_91935_56,1542.69479451461,-2.03289890288916,0.773052764992062,NA,NA,NA,NA,NA,NA,EamA,PF00892.25,6.6e-36,147,281,1,134
UHM102.10840__k141_42619_10,1536.82073322713,-2.08942392487194,0.807569679332565,-,GH170(3-373),GH170_e35,-,-,2,MupG_N,PF19200.5,7.2e-51,4,256,1,236
UHM102.10840__k141_42619_10,1536.82073322713,-2.08942392487194,0.807569679332565,-,GH170(3-373),GH170_e35,-,-,2,MupG_C,PF05913.16,2.2e-23,265,373,2,116
UHM102.10840__k141_42619_42,1750.77094499608,-2.0330443975589,0.807569679332565,3.2.1.21:1+3.2.1.85:2+3.2.1.86:10,GH1(3-463),GH1_e13,-,beta-galactan+beta-glucan,2,Glyco_hydro_1,PF00232.23,1.2999999999999997e-111,3,463,3,452
UHM102.10840__k141_42619_42,1750.77094499608,-2.0330443975589,0.807569679332565,3.2.1.21:1+3.2.1.85:2+3.2.1.86:10,GH1(3-463),GH1_e13,-,beta-galactan+beta-glucan,2,Cellulase,PF00150.23,1.7e-5,53,172,17,136
UHM102.10840__k141_82002_7,875.489959377198,-2.37566118259615,0.807569679332565,NA,NA,NA,NA,NA,NA,HbpS-like,PF03928.19,1.7e-16,16,132,1,124
UHM102.10840__k141_82002_39,2006.59786976576,-2.34820041962922,0.807569679332565,NA,NA,NA,NA,NA,NA,Acetate_kinase,PF00871.22,5.8e-136,4,390,1,392
UHM102.10840__k141_69380_5,1049.77382334406,-2.01722931968019,0.807569679332565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.10840__k141_69380_101,1665.22386257871,-2.05395017787438,0.807569679332565,NA,NA,NA,NA,NA,NA,Peripla_BP_1,PF00532.26,3.3e-28,63,322,2,278
UHM102.10840__k141_69380_101,1665.22386257871,-2.05395017787438,0.807569679332565,NA,NA,NA,NA,NA,NA,Peripla_BP_3,PF13377.11,1.8999999999999998e-24,173,327,5,167
UHM102.10840__k141_69380_101,1665.22386257871,-2.05395017787438,0.807569679332565,NA,NA,NA,NA,NA,NA,Peripla_BP_4,PF13407.11,1.7e-17,66,273,2,218
UHM102.10840__k141_69380_101,1665.22386257871,-2.05395017787438,0.807569679332565,NA,NA,NA,NA,NA,NA,LacI,PF00356.26,1.2e-13,7,51,1,46
