over1717.1710_UHM102.10840__k141_51827_1	K18555
over1717.1710_UHM102.35765__k141_52422_32	K01845
over1717.1710_UHM102.35765__k141_81533_62	K00789
over1717.1710_UHM102.35765__k141_133926_162	K00812
over1717.1710_UHM102.35765__k141_10226_46	K09013
over1717.1710_UHM102.35765__k141_1625_4	K08194
over1717.1710_UHM102.35765__k141_110662_189	K00262
over1717.1710_UHM102.35765__k141_139535_60	K02014
over1717.1710_UHM102.35765__k141_139535_60	K16090
over1717.1710_UHM102.35765__k141_72827_12	K11690
over1717.1710_UHM102.35765__k141_148405_88	K07003
over1717.1710_UHM102.35765__k141_148405_216	K00457
over1717.1710_UHM102.35765__k141_58495_120	K06041
over1717.1710_UHM102.35765__k141_59197_6	NA
over1717.1710_UHM102.35765__k141_25837_216	NA
over1717.1710_UHM102.35765__k141_69425_94	K07137
over1717.1710_UHM102.35765__k141_69425_222	NA
over1717.1710_UHM102.35765__k141_149437_259	NA
over1717.1710_UHM102.35765__k141_45535_7	NA
over1717.1710_UHM102.35765__k141_52000_453	NA
over1717.1710_UHM102.35765__k141_150784_167	NA
over1717.1710_UHM102.35765__k141_150784_199	NA
over1717.1710_UHM102.35765__k141_85146_2	K03076
over1717.1710_UHM102.35765__k141_13700_5	K03798
over1717.1710_UHM102.35765__k141_18345_48	NA
over1717.1710_UHM102.35766__k141_118650_4	K14441
over1717.1710_UHM102.35766__k141_102653_15	K01689
over1717.1710_UHM102.35766__k141_65176_2	K00648
over1717.1710_UHM102.35766__k141_37989_21	K11942
over1717.1710_UHM102.35766__k141_102764_283	NA
over1717.1710_UHM102.35766__k141_140660_5	K00790
over1717.1710_UHM102.35766__k141_102851_55	K00134
over1717.1710_UHM102.35766__k141_162765_165	K01961
over1717.1710_UHM102.35766__k141_162765_293	K03561
over1717.1710_UHM102.35766__k141_152338_6	K03424
over1717.1710_UHM102.35766__k141_120935_44	K03475
over1717.1710_UHM102.35766__k141_23458_181	K01696
over1717.1710_UHM102.35766__k141_142113_3	K02687
over1717.1710_UHM102.35766__k141_147716_3	K09014
over1717.1710_UHM102.35766__k141_13401_10	K07456
over1717.1710_UHM102.35766__k141_51493_4	NA
over1717.1710_UHM102.35766__k141_105023_139	NA
over1717.1710_UHM102.35766__k141_14013_35	K01251
over1717.1710_UHM102.35766__k141_51846_6	NA
over1717.1710_UHM102.35766__k141_171374_348	K00162
over1717.1710_UHM102.35766__k141_132696_2	K19172
over1717.1710_UHM102.35766__k141_14440_2	K11616
over1717.1710_UHM102.35766__k141_4350_8	K01589
over1717.1710_UHM102.35766__k141_89802_9	K01703
over1717.1710_UHM102.35766__k141_69635_4	NA
over1717.1710_UHM102.35766__k141_165686_12	K00500
over1717.1710_UHM102.35766__k141_57977_129	K03644
over1717.1710_UHM102.35766__k141_25241_65	K00549
over1717.1710_UHM102.35766__k141_58684_157	K01867
over1717.1710_UHM102.35767__k141_54123_3	NA
over1717.1710_UHM125.35768__k141_74960_7	NA
over1717.1710_UHM125.35768__k141_74960_103	K09476
over1717.1710_UHM125.35768__k141_50463_5	K07452
over1717.1710_UHM125.35768__k141_110972_45	NA
over1717.1710_UHM125.35768__k141_105282_15	K07700
over1717.1710_UHM125.35768__k141_125886_3	NA
over1717.1710_UHM125.35768__k141_76701_41	K01595
over1717.1710_UHM125.35768__k141_82067_7	K01406
over1717.1710_UHM125.35768__k141_22597_5	K02013
over1717.1710_UHM125.35768__k141_19096_7	NA
over1717.1710_UHM125.35768__k141_113813_42	NA
over1717.1710_UHM125.35769__k141_151911_59	K03286
over1717.1710_UHM125.35769__k141_53744_11	K02014
over1717.1710_UHM125.35769__k141_152066_17	K13735
