Gene_ID,baseMean,log2FoldChange,padj,EC,cazyme_fam,sub_fam,diamond_fam,Substrate,#ofTools,DOMAIN,ACCESSION,EVALUE,QSTART,QEND,HMMSTART,HMMEND
UHM102.35765__k141_114743_3,296.512279806481,2.23014556349096,0.250029250706707,NA,NA,NA,NA,NA,NA,DUF2383,PF09537.15,9.999999999999999e-27,8,115,3,111
UHM102.35765__k141_71881_367,455.275522162968,2.15575534368358,0.807569679332565,NA,NA,NA,NA,NA,NA,FecR,PF04773.18,1.8e-18,120,210,3,96
UHM102.35765__k141_1625_4,850.821481633864,2.07832273924511,0.151250266317373,NA,NA,NA,NA,NA,NA,MFS_1,PF07690.21,3.5e-63,43,411,1,347
UHM102.35765__k141_1625_4,850.821481633864,2.07832273924511,0.151250266317373,NA,NA,NA,NA,NA,NA,Sugar_tr,PF00083.29,5.5e-10,66,443,43,436
UHM102.35765__k141_139535_60,730.786657223364,2.35844645789765,0.683647046379392,NA,NA,NA,NA,NA,NA,TonB_dep_Rec_b-barrel,PF00593.29,1.4e-65,230,662,10,436
UHM102.35765__k141_139535_60,730.786657223364,2.35844645789765,0.683647046379392,NA,NA,NA,NA,NA,NA,Plug,PF07715.20,4.7e-25,60,155,2,106
UHM102.35765__k141_130140_13,604.825268083504,2.68217422430326,0.535212572041487,NA,NA,NA,NA,NA,NA,CoA_transf_3,PF02515.22,2.5999999999999995e-133,12,393,1,366
UHM102.35765__k141_116458_2,221.919203528272,2.38123268665669,0.242212082840638,NA,NA,NA,NA,NA,NA,PNTB_4TM,PF12769.12,6.6e-30,8,90,2,84
UHM102.35765__k141_82395_77,1236.54958628033,2.06569870560828,0.807569679332565,NA,NA,NA,NA,NA,NA,tRNA_synt_2f,PF02092.22,1.0999999999999999e-187,6,565,1,536
UHM102.35765__k141_82395_77,1236.54958628033,2.06569870560828,0.807569679332565,NA,NA,NA,NA,NA,NA,DALR_1,PF05746.20,4.4e-10,595,698,3,107
UHM102.35765__k141_44818_322,801.032118990943,2.52361904798515,0.670316685655313,NA,NA,NA,NA,NA,NA,Thioredoxin_10,PF17991.6,3.8e-52,464,610,1,142
UHM102.35765__k141_44818_322,801.032118990943,2.52361904798515,0.670316685655313,NA,NA,NA,NA,NA,NA,DsbD,PF02683.20,2.7e-13,8,187,2,188
UHM102.35765__k141_44818_322,801.032118990943,2.52361904798515,0.670316685655313,NA,NA,NA,NA,NA,NA,AhpC-TSA,PF00578.26,1.5e-11,311,414,19,123
