Gene_ID,baseMean,log2FoldChange,padj,EC,cazyme_fam,sub_fam,diamond_fam,Substrate,#ofTools,DOMAIN,ACCESSION,EVALUE,QSTART,QEND,HMMSTART,HMMEND
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,37,72,1,36
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,87,125,1,39
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,119,150,3,34
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,133,164,7,38
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,156,189,5,38
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,162,201,1,40
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide_4,PF13599.11,6.7e-27,34,100,8,74
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide_4,PF13599.11,6.7e-27,77,139,11,73
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide_4,PF13599.11,6.7e-27,133,206,2,75
UHM102.10840__k141_51827_1,228.796896143643,2.0285033509243,0.0738637548718221,NA,NA,NA,NA,NA,NA,Pentapeptide_3,PF13576.11,1.6e-14,158,197,5,47
UHM102.35765__k141_52422_32,424.441715409128,2.36657070423242,0.0973151039704629,NA,NA,NA,NA,NA,NA,Aminotran_3,PF00202.26,3.1e-81,34,414,9,390
UHM102.35765__k141_52422_32,424.441715409128,2.36657070423242,0.0973151039704629,NA,NA,NA,NA,NA,NA,Aminotran_1_2,PF00155.26,4.1e-7,91,398,45,333
UHM102.35765__k141_81533_62,468.965467312219,2.44388540643953,0.096710147586138,NA,NA,NA,NA,NA,NA,S-AdoMet_synt_C,PF02773.21,3.6e-61,243,376,1,132
UHM102.35765__k141_81533_62,468.965467312219,2.44388540643953,0.096710147586138,NA,NA,NA,NA,NA,NA,S-AdoMet_synt_M,PF02772.21,4.1999999999999995e-44,113,241,1,120
UHM102.35765__k141_81533_62,468.965467312219,2.44388540643953,0.096710147586138,NA,NA,NA,NA,NA,NA,S-AdoMet_synt_N,PF00438.25,2.5e-42,3,100,2,99
UHM102.35765__k141_133926_162,446.55375297738,2.41328236730961,0.096710147586138,NA,NA,NA,NA,NA,NA,Aminotran_1_2,PF00155.26,1.1e-72,32,390,1,361
UHM102.35765__k141_133926_162,446.55375297738,2.41328236730961,0.096710147586138,NA,NA,NA,NA,NA,NA,DegT_DnrJ_EryC1,PF01041.22,5.1e-7,95,169,43,116
UHM102.35765__k141_10226_46,313.967307453039,2.3332694372796,0.096710147586138,NA,NA,NA,NA,NA,NA,ABC_tran,PF00005.32,1.0999999999999998e-24,17,172,1,135
UHM102.35765__k141_1625_4,850.821481633864,2.46050025421214,0.0191306612586428,NA,NA,NA,NA,NA,NA,MFS_1,PF07690.21,3.5e-63,43,411,1,347
UHM102.35765__k141_1625_4,850.821481633864,2.46050025421214,0.0191306612586428,NA,NA,NA,NA,NA,NA,Sugar_tr,PF00083.29,5.5e-10,66,443,43,436
UHM102.35765__k141_110662_189,452.945618897998,2.44006083326112,0.0860542283919007,NA,NA,NA,NA,NA,NA,ELFV_dehydrog,PF00208.26,7.200000000000001e-86,200,445,1,241
