Gene_ID,baseMean,log2FoldChange,padj,EC,cazyme_fam,sub_fam,diamond_fam,Substrate,#ofTools,DOMAIN,ACCESSION,EVALUE,QSTART,QEND,HMMSTART,HMMEND
UHM102.35765__k141_44818_162,423.274194573128,-2.0038191637373,0.750071475719122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.35766__k141_35154_102,543.838032589952,-2.02878379510331,0.722069938066597,NA,NA,NA,NA,NA,NA,RuvX,PF03652.20,2.1999999999999997e-32,46,167,2,133
UHM102.35767__k141_49600_93,484.954529699311,-2.06596639415096,0.544128511029766,NA,NA,NA,NA,NA,NA,TetR_N,PF00440.28,1.1e-11,28,73,2,47
UHM102.35767__k141_136666_93,318.844327210764,-2.1120224893727,0.758388574127194,NA,NA,NA,NA,NA,NA,cNMP_binding,PF00027.34,5.5e-16,45,122,3,81
UHM125.35768__k141_97908_49,145.460523317965,-2.05457058848497,0.0264745537260686,NA,NA,NA,NA,NA,NA,UvrB_inter,PF17757.6,2.1999999999999997e-33,160,249,2,91
UHM125.35768__k141_97908_49,145.460523317965,-2.05457058848497,0.0264745537260686,NA,NA,NA,NA,NA,NA,Helicase_C,PF00271.36,4.6e-21,435,545,6,109
UHM125.35768__k141_97908_49,145.460523317965,-2.05457058848497,0.0264745537260686,NA,NA,NA,NA,NA,NA,UvrB,PF12344.13,3.4e-21,552,593,1,42
UHM125.35768__k141_97908_49,145.460523317965,-2.05457058848497,0.0264745537260686,NA,NA,NA,NA,NA,NA,ResIII,PF04851.20,2.2e-11,16,87,7,83
UHM125.35768__k141_97908_49,145.460523317965,-2.05457058848497,0.0264745537260686,NA,NA,NA,NA,NA,NA,UVR,PF02151.24,8.7e-9,639,672,2,35
UHM125.35768__k141_154779_57,506.191070249566,-4.10333283176219,0.018235304935444,NA,NA,NA,NA,NA,NA,He_PIG,PF05345.17,7.2e-118,376,458,2,95
UHM125.35768__k141_154779_57,506.191070249566,-4.10333283176219,0.018235304935444,NA,NA,NA,NA,NA,NA,He_PIG,PF05345.17,7.2e-118,461,543,1,95
