Gene_ID	KOFAM
UHM102.10840__k141_23678_3	K07507
UHM102.10840__k141_87662_1	K07795
UHM102.10840__k141_33948_5	K01753
UHM102.10840__k141_91236_2	NA
UHM102.10840__k141_91236_98	NA
UHM102.10840__k141_34031_2	NA
UHM102.10840__k141_47476_2	K01053
UHM102.10840__k141_30883_3	NA
UHM102.10840__k141_746_85	K07485
UHM102.10840__k141_101708_2	NA
UHM102.10840__k141_101860_22	NA
UHM102.10840__k141_27523_5	K03592
UHM102.10840__k141_91423_2	K07275
UHM102.10840__k141_38077_2	NA
UHM102.10840__k141_64947_5	K01692
UHM102.10840__k141_64947_5	K15866
UHM102.10840__k141_99501_7	K03613
UHM102.10840__k141_51827_1	K18555
UHM102.10840__k141_34471_281	K07005
UHM102.10840__k141_34491_3	NA
UHM102.10840__k141_55252_53	NA
UHM102.10840__k141_85651_6	K07795
UHM102.10840__k141_28469_3	NA
UHM102.10840__k141_44614_2	K22108
UHM102.10840__k141_34872_2	NA
UHM102.10840__k141_72433_4	K00574
UHM102.10840__k141_79725_2	K03092
UHM102.10840__k141_5164_1	NA
UHM102.10840__k141_2371_5	K07795
UHM102.10840__k141_72499_6	K00864
UHM102.10840__k141_9346_1	NA
UHM102.10840__k141_2623_2	K20074
UHM102.10840__k141_2681_2	K11735
UHM102.10840__k141_38843_2	K00014
UHM102.10840__k141_55725_2	NA
UHM102.10840__k141_82002_7	NA
UHM102.10840__k141_82002_39	K00925
UHM102.10840__k141_82008_2	K00261
UHM102.10840__k141_96431_1	NA
UHM102.10840__k141_45321_1	NA
UHM102.10840__k141_23062_5	K00773
UHM102.10840__k141_69380_229	K02338
UHM102.10840__k141_39176_6	K16868
UHM102.10840__k141_59885_3	K02030
UHM102.10840__k141_59885_3	K10001
UHM102.10840__k141_73398_2	NA
UHM102.10840__k141_104057_4	NA
UHM102.10840__k141_5936_65	NA
UHM102.10840__k141_52980_2	K07402
UHM102.10840__k141_56565_11	NA
UHM102.10840__k141_60448_7	NA
UHM102.10840__k141_63829_3	K06023
UHM102.10840__k141_63875_26	K01677
UHM102.10840__k141_66655_2	K00943
UHM102.10840__k141_70318_35	NA
UHM102.10840__k141_13069_4	NA
UHM102.10840__k141_90619_2	K03088
UHM102.10840__k141_90619_2	K23514
UHM102.10840__k141_16808_2	NA
UHM102.10840__k141_57143_2	K06075
UHM102.10840__k141_33658_1	K03499
UHM102.10840__k141_76985_3	NA
UHM102.10840__k141_83477_184	NA
